,hotel_name,rating,room_description,price,location_descirption,long_description,price_week_before
52,Italianas - San Pietro,9.3,"One-Bedroom Apartment
2 beds (1 double, 1 sofa bed)
Only 1 left at this price on our site",€ 786,"Vaticano Prati, RomeShow on map2.6 km from centre","Situated in Rome, 1.3 km from St. Peter's Basilica and 1.9 km from Castel Sant'Angelo, Italianas - San Pietro offers a shared lounge and air conditioning. It is located 1.2 km from St Peter's Square and features a lift. Free WiFi is available and private parking can be arranged at an extra charge.

The apartment features 1 bedroom, a flat-screen TV and a fully equipped kitchen that provides guests with a dishwasher, an oven, a washing machine, a microwave and a toaster. Towels and bed linen are available in the apartment. The accommodation is non-smoking.

A minimarket is available at the apartment.

A bicycle rental service is available at the apartment.

The Vatican is 1.1 km from Italianas - San Pietro, while Vatican Museums is 2.4 km from the property. The nearest airport is Rome Ciampino, 18 km from the accommodation, and the property offers a paid airport shuttle service.",€ 772
54,Casa di Aurora - la porta sul vaticano,8.7,"One-Bedroom Apartment
Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 60m²
2 beds (1 double, 1 sofa bed)
Only 1 left at this price on our site",€ 875,"Vaticano Prati, RomeShow on map3.2 km from centreMetro access","Situated in Rome, 1.8 km from St. Peter's Basilica and 1.3 km from Vatican Museums, Casa di Aurora - la porta sul vaticano offers air conditioning. This apartment features free private parking, a lift and free WiFi. The property is non-smoking and is set 1.8 km from Ottaviano Metro Station.

The 1-bedroom apartment has a living room with a flat-screen TV, a fully equipped kitchen with a dishwasher and an oven, and 1 bathroom with a hair dryer. Towels and bed linen are offered in the apartment.

Castel Sant'Angelo is 2.4 km from the apartment, while Lepanto Metro Station is 2.5 km from the property. The nearest airport is Fiumicino Airport, 25 km from Casa di Aurora - la porta sul vaticano.",€ 871
56,Salotto San Pietro,9.2,"One-Bedroom Apartment
Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 55m²
2 beds (1 double, 1 sofa bed)
Only 1 left at this price on our site",€ 815,"Vaticano Prati, RomeShow on map2.7 km from centre","Salotto San Pietro is set in the Vaticano Prati district of Rome, 2.1 km from Castel Sant'Angelo, 1.4 km from St Peter's Square and 1.2 km from The Vatican. The property is around 2.5 km from Vatican Museums, 2.7 km from Piazza Navona and 2.7 km from Largo di Torre Argentina. Free WiFi is available throughout the property and St. Peter's Basilica is 1.4 km away.

The air-conditioned apartment consists of 1 bedroom, a living room, a fully equipped kitchen with a microwave and a coffee machine, and 1 bathroom with a bidet and a hair dryer. Towels and bed linen are offered in the apartment. The accommodation is non-smoking.

Campo de' Fiori is 2.9 km from the apartment, while Piazza di Santa Maria in Trastevere is 3 km from the property. The nearest airport is Fiumicino Airport, 25 km from Salotto San Pietro.",€ 812
57,Casa Diletta al Vaticano,9.4,"One-Bedroom Apartment
Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 40m²
1 large double bed
Free cancellation
Only 1 left at this price on our site","€ 1,008","Trionfale, RomeShow on map3.1 km from centreMetro access","You're eligible for a Genius discount at Casa Diletta al Vaticano! To save at this property, all you have to do is sign in.
Set in Rome, 600 metres from Vatican Museums and less than 1 km from Ottaviano Metro Station, Casa Diletta al Vaticano offers free WiFi and air conditioning. The property has garden views and is 1.8 km from Castel Sant'Angelo and 1.6 km from St Peter's Square. The property is non-smoking and is located 1.7 km from Lepanto Metro Station.

The recently renovated apartment is fitted with 1 separate bedroom, 1 bathroom, a fully equipped kitchen with a dining area and oven, and a living room with a flat-screen TV. Towels and bed linen are offered in the apartment.

The Vatican is 1.6 km from the apartment, while St. Peter's Basilica is 1.8 km from the property. The nearest airport is Fiumicino Airport, 27 km from Casa Diletta al Vaticano.","€ 1,008"
61,Super appartamento nel cuore del Pigneto,,"One-Bedroom Apartment
Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 50m²
4 beds (2 doubles, 2 sofa beds)
Free cancellation
Only 1 left at this price on our site",€ 854,"Prenestino Labicano, RomeShow on map3.6 km from centreMetro access","A recently renovated property, Super appartamento nel cuore del Pigneto is set in Rome near San Giovanni Metro Station, Ponte Lungo Metro Station and Vittorio Emanuele Metro Station. The property features quiet street views and is 2.7 km from Sapienza University of Rome and 3.2 km from Santa Maria Maggiore. Free WiFi is available throughout the property and Porta Maggiore is less than 1 km away.

The air-conditioned apartment consists of 1 bedroom, a living room, a fully equipped kitchen with a dishwasher and a coffee machine, and 1 bathroom with a bidet and a hair dryer. Towels and bed linen are featured in the apartment. The accommodation is non-smoking.

Rome Termini Train Station is 3.4 km from the apartment, while Rome Termini Metro Station is 3.6 km away. The nearest airport is Rome Ciampino, 12 km from Super appartamento nel cuore del Pigneto, and the property offers a paid airport shuttle service.",€ 854
62,Maru Apartment,8.9,"Apartment with Balcony
Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 75m²
2 extra-large double beds
Free cancellation
Only 1 left at this price on our site","€ 1,154","Vaticano Prati, RomeShow on map3 km from centreMetro access","You're eligible for a Genius discount at Maru Apartment! To save at this property, all you have to do is sign in.
Located in Rome, this apartment is 700 metres from St. Peter's Basilica. Maru Apartment boasts views of the garden and is 900 metres from Vatican Museums. Free WiFi is featured throughout the property.

There is a seating area, a dining area and a kitchen equipped with an oven. Towels and bed linen are offered in this self-catering accommodation. Other facilities at Maru Apartment include a terrace.

St. Peter's Square is a 15-minute walk from Maru Apartment. The nearest airport is Rome Ciampino Airport, 16 km from the property.","€ 1,154"
64,Il Nido di Elvira (Marconi-Trastevere),,"One-Bedroom Apartment
Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 80m²
2 beds (1 sofa bed, 1 large double)",€ 742,"Portuense, RomeShow on map3.6 km from centre","Set in Rome, the recently renovated Il Nido di Elvira (Marconi-Trastevere) offers accommodation 700 metres from Roma Trastevere Train Station and 2.1 km from Basilica San Paolo Metro Station. The air-conditioned accommodation is 3.8 km from Roman Forum. The property is non-smoking and is situated 3.8 km from Campo de' Fiori.

The spacious apartment with a balcony and city views features 1 bedroom, a living room, a flat-screen TV, an equipped kitchen with an oven and a microwave, and 1 bathroom with a bidet. Towels and bed linen are featured in the apartment. For added privacy, the accommodation features a private entrance.

Piazza di Santa Maria in Trastevere is 4.3 km from the apartment, while Coliseum is 4.6 km away. The nearest airport is Fiumicino Airport, 20 km from Il Nido di Elvira (Marconi-Trastevere).",€ 712
66,Domus Iulia - Colosseo,9.5,"Large Double Room
1 extra-large double bed
Free cancellation
Only 1 room left at this price on our site","€ 1,056","Rione Monti, RomeShow on map1.7 km from centre","Located in the centre of Rome, less than 1 km from San Giovanni Metro Station and a 9-minute walk from Coliseum, Domus Iulia - Colosseo offers free WiFi and air conditioning. This recently renovated guest house is located 1.2 km from Vittorio Emanuele Metro Station and 1.6 km from Porta Maggiore. The accommodation provides a lift and a shared kitchen for guests.

At the guest house, every unit includes a wardrobe, a flat-screen TV, a private bathroom, bed linen and towels. At the guest house, all units are soundproof.

Popular points of interest near the guest house include Domus Aurea, Palatine Hill and Santa Maria Maggiore. The nearest airport is Rome Ciampino Airport, 12 km from Domus Iulia - Colosseo.","€ 1,056"
68,A Casa Di Magda (Al centro di Roma),8.9,"Two-Bedroom Apartment
3 beds (1 double, 1 sofa bed, 1 large double)
Free cancellation
Only 1 left at this price on our site",€ 914,"San Giovanni, RomeShow on map2.4 km from centre","You're eligible for a Genius discount at A Casa Di Magda (Al centro di Roma)! To save at this property, all you have to do is sign in.
In the San Giovanni district of Rome, close to Ponte Lungo Metro Station, A Casa Di Magda (Al centro di Roma) features a garden and a washing machine. The property is around 1.7 km from Domus Aurea, 2.3 km from Palatine Hill and 2.3 km from Santa Maria Maggiore. Free WiFi is available throughout the property and San Giovanni Metro Station is 600 metres away.

Opening onto a patio, the apartment consists of 2 bedrooms.

Popular points of interest near the apartment include Vittorio Emanuele Metro Station, Porta Maggiore and Coliseum. The nearest airport is Rome Ciampino Airport, 12 km from A Casa Di Magda (Al centro di Roma).",€ 914
69,Rome As You Feel - Bazzoni Vatican Apartment,8.8,"One-Bedroom Apartment
Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 55m²
1 large double bed
Free cancellation
Only 1 left at this price on our site","€ 1,020","Vaticano Prati, RomeShow on map2.8 km from centre","Rome As You Feel - Bazzoni Vatican Apartment features a balcony and is set in Rome, within just 700 metres of Ottaviano Metro Station and 1.2 km of Vatican Museums. It is located 2 km from Castel Sant'Angelo and offers a lift. Free WiFi is available throughout the property and Lepanto Metro Station is less than 1 km away.

The air-conditioned apartment consists of 1 bedroom, a living room, a fully equipped kitchen with a dishwasher and a kettle, and 1 bathroom with a bidet and a hair dryer. A flat-screen TV is featured. The accommodation is non-smoking.

Popular points of interest near the apartment include St Peter's Square, Piazza del Popolo and The Vatican. The nearest airport is Rome Ciampino, 18 km from Rome As You Feel - Bazzoni Vatican Apartment, and the property offers a paid airport shuttle service.","€ 1,020"
